scenario,accuracy,precision,recall,f1,roc_auc
clean,0.7804878048780488,0.6455696202531646,0.9622641509433962,0.7727272727272727,0.9309930090956927
blur,0.6365853658536585,0.5186567164179104,0.8742138364779874,0.6510538641686182,0.7756145230399157
haze,0.5951219512195122,0.4890282131661442,0.9811320754716981,0.6527196652719666,0.8910521436267509
brightness,0.8,0.6859903381642513,0.8930817610062893,0.7759562841530054,0.8962640006013681
